all_3UTR_996.geneId	all_3UTR_996.transcriptId
AAEL010411	AAEL010411-RC
AAEL004865	AAEL004865-RA
AAEL020203	AAEL020203-RA
AAEL006820	AAEL006820-RA
AAEL021554	AAEL021554-RE
AAEL003594	AAEL003594-RB
AAEL001254	AAEL001254-RA
AAEL017075	AAEL017075-RA
AAEL001564	AAEL001564-RD
AAEL014562	AAEL014562-RA
AAEL000604	AAEL000604-RC
AAEL020484	AAEL020484-RA
AAEL001209	AAEL001209-RB
AAEL019482	AAEL019482-RA
AAEL000281	AAEL000281-RA
AAEL000590	AAEL000590-RA
AAEL008738	AAEL008738-RA
AAEL026843	AAEL026843-RA
AAEL018700	AAEL018700-RC
AAEL020092	AAEL020092-RA
AAEL003698	AAEL003698-RB
AAEL019784	AAEL019784-RA
AAEL004229	AAEL004229-RA
AAEL009157	AAEL009157-RG
AAEL013870	AAEL013870-RA
AAEL027019	AAEL027019-RA
AAEL001612	AAEL001612-RA
AAEL010941	AAEL010941-RA
AAEL004547	AAEL004547-RA
AAEL004559	AAEL004559-RB
AAEL012206	AAEL012206-RL
AAEL013847	AAEL013847-RB
AAEL002427	AAEL002427-RB
AAEL006071	AAEL006071-RC
AAEL010015	AAEL010015-RB
AAEL015575	AAEL015575-RD
AAEL021288	AAEL021288-RA
AAEL002152	AAEL002152-RA
AAEL019696	AAEL019696-RA
AAEL002950	AAEL002950-RC
AAEL005992	AAEL005992-RB
AAEL014344	AAEL014344-RA
AAEL027699	AAEL027699-RA
AAEL019685	AAEL019685-RE
AAEL001087	AAEL001087-RB
AAEL010584	AAEL010584-RB
AAEL025109	AAEL025109-RA
AAEL020033	AAEL020033-RB
AAEL009249	AAEL009249-RA
AAEL009782	AAEL009782-RB
AAEL019586	AAEL019586-RA
AAEL007760	AAEL007760-RA
AAEL008020	AAEL008020-RA
AAEL002436	AAEL002436-RF
AAEL021093	AAEL021093-RA
AAEL011700	AAEL011700-RA
AAEL010018	AAEL010018-RA
AAEL010589	AAEL010589-RA
AAEL014455	AAEL014455-RA
AAEL013350	AAEL013350-RA
AAEL010676	AAEL010676-RB
AAEL002723	AAEL002723-RA
AAEL004168	AAEL004168-RB
AAEL008569	AAEL008569-RC
AAEL019592	AAEL019592-RC
AAEL009623	AAEL009623-RA
AAEL009303	AAEL009303-RA
AAEL002329	AAEL002329-RC
AAEL026118	AAEL026118-RE
AAEL003117	AAEL003117-RB
AAEL011217	AAEL011217-RA
AAEL001930	AAEL001930-RD
AAEL008777	AAEL008777-RC
AAEL001367	AAEL001367-RB
AAEL022781	AAEL022781-RA
AAEL001556	AAEL001556-RD
AAEL019720	AAEL019720-RD
AAEL008641	AAEL008641-RB
AAEL003505	AAEL003505-RA
AAEL012475	AAEL012475-RC
AAEL008058	AAEL008058-RG
AAEL018211	AAEL018211-RB
AAEL021579	AAEL021579-RC
AAEL011081	AAEL011081-RA
AAEL018032	AAEL018032-RB
AAEL007694	AAEL007694-RE
AAEL005392	AAEL005392-RA
AAEL013384	AAEL013384-RA
AAEL014589	AAEL014589-RB
AAEL007452	AAEL007452-RB
AAEL013561	AAEL013561-RB
AAEL019609	AAEL019609-RA
AAEL004278	AAEL004278-RA
AAEL002253	AAEL002253-RB
AAEL016984	AAEL016984-RA
AAEL010766	AAEL010766-RC
AAEL010728	AAEL010728-RA
AAEL004520	AAEL004520-RC
AAEL022692	AAEL022692-RA
AAEL003701	AAEL003701-RA
AAEL012378	AAEL012378-RB
AAEL011496	AAEL011496-RB
AAEL020486	AAEL020486-RA
AAEL007944	AAEL007944-RA
AAEL010261	AAEL010261-RB
AAEL019833	AAEL019833-RA
AAEL013515	AAEL013515-RA
AAEL004727	AAEL004727-RB
AAEL004710	AAEL004710-RG
AAEL005662	AAEL005662-RC
AAEL025921	AAEL025921-RA
AAEL019711	AAEL019711-RB
AAEL001200	AAEL001200-RB
AAEL006433	AAEL006433-RB
AAEL006445	AAEL006445-RA
AAEL026638	AAEL026638-RA
AAEL006510	AAEL006510-RB
AAEL007913	AAEL007913-RA
AAEL001394	AAEL001394-RA
AAEL006550	AAEL006550-RB
AAEL006553	AAEL006553-RA
AAEL001232	AAEL001232-RB
AAEL018699	AAEL018699-RT
AAEL012513	AAEL012513-RE
AAEL002487	AAEL002487-RB
AAEL027733	AAEL027733-RA
AAEL010508	AAEL010508-RB
AAEL019434	AAEL019434-RA
AAEL019769	AAEL019769-RA
AAEL000217	AAEL000217-RB
AAEL010062	AAEL010062-RE
AAEL008042	AAEL008042-RD
AAEL007636	AAEL007636-RB
AAEL005997	AAEL005997-RA
AAEL010942	AAEL010942-RA
AAEL006786	AAEL006786-RD
AAEL000442	AAEL000442-RA
AAEL000427	AAEL000427-RA
AAEL009847	AAEL009847-RB
AAEL018314	AAEL018314-RB
AAEL004436	AAEL004436-RA
AAEL000191	AAEL000191-RA
AAEL006472	AAEL006472-RC
AAEL003478	AAEL003478-RA
AAEL023611	AAEL023611-RA
AAEL019556	AAEL019556-RA
AAEL019704	AAEL019704-RA
