aegypti_Ago2_8.geneId	aegypti_Ago2_8.transcriptId
AAEL022806	AAEL022806-RF
AAEL004234	AAEL004234-RA
AAEL009151	AAEL009151-RA
AAEL004691	AAEL004691-RB
AAEL003103	AAEL003103-RB
AAEL004559	AAEL004559-RB
AAEL003203	AAEL003203-RC
AAEL003179	AAEL003179-RB
AAEL012233	AAEL012233-RB
AAEL013461	AAEL013461-RA
AAEL014762	AAEL014762-RB
AAEL014408	AAEL014408-RC
AAEL022113	AAEL022113-RA
AAEL005839	AAEL005839-RA
AAEL020998	AAEL020998-RB
AAEL005411	AAEL005411-RC
AAEL002860	AAEL002860-RA
AAEL007385	AAEL007385-RC
AAEL013086	AAEL013086-RA
AAEL004865	AAEL004865-RA
AAEL009646	AAEL009646-RC
AAEL007915	AAEL007915-RD
AAEL003605	AAEL003605-RB
AAEL007752	AAEL007752-RA
AAEL008953	AAEL008953-RE
AAEL005515	AAEL005515-RJ
AAEL002534	AAEL002534-RA
AAEL009872	AAEL009872-RA
AAEL002455	AAEL002455-RB
AAEL012359	AAEL012359-RA
AAEL022609	AAEL022609-RE
AAEL006582	AAEL006582-RC
AAEL004175	AAEL004175-RA
AAEL023521	AAEL023521-RA
AAEL024852	AAEL024852-RA
AAEL009863	AAEL009863-RF
AAEL009295	AAEL009295-RA
AAEL013139	AAEL013139-RI
AAEL019986	AAEL019986-RE
AAEL011217	AAEL011217-RA
AAEL019546	AAEL019546-RG
AAEL019617	AAEL019617-RK
AAEL018273	AAEL018273-RB
AAEL007682	AAEL007682-RB
AAEL004936	AAEL004936-RC
AAEL001503	AAEL001503-RJ
AAEL011369	AAEL011369-RE
AAEL011069	AAEL011069-RB
AAEL004783	AAEL004783-RA
AAEL004297	AAEL004297-RB
AAEL017012	AAEL017012-RC
AAEL004532	AAEL004532-RB
AAEL004534	AAEL004534-RA
AAEL020484	AAEL020484-RA
AAEL008696	AAEL008696-RA
AAEL019430	AAEL019430-RA
AAEL006899	AAEL006899-RB
AAEL013272	AAEL013272-RA
AAEL013275	AAEL013275-RB
AAEL013939	AAEL013939-RB
AAEL003259	AAEL003259-RA
AAEL001808	AAEL001808-RC
AAEL004727	AAEL004727-RB
AAEL004710	AAEL004710-RG
AAEL005651	AAEL005651-RB
AAEL001898	AAEL001898-RB
AAEL010340	AAEL010340-RD
AAEL012117	AAEL012117-RE
AAEL022661	AAEL022661-RA
AAEL002184	AAEL002184-RA
AAEL006439	AAEL006439-RC
AAEL004500	AAEL004500-RD
AAEL019568	AAEL019568-RD
AAEL000706	AAEL000706-RA
AAEL003355	AAEL003355-RA
AAEL020615	AAEL020615-RA
AAEL017516	AAEL017516-RB
AAEL023898	AAEL023898-RA
AAEL004910	AAEL004910-RA
AAEL012772	AAEL012772-RA
AAEL011815	AAEL011815-RA
AAEL005699	AAEL005699-RB
AAEL008793	AAEL008793-RA
AAEL011309	AAEL011309-RA
AAEL002761	AAEL002761-RAL
AAEL007001	AAEL007001-RA
AAEL013390	AAEL013390-RB
AAEL012944	AAEL012944-RB
AAEL004439	AAEL004439-RA
AAEL000185	AAEL000185-RB
AAEL018288	AAEL018288-RAD
AAEL002834	AAEL002834-RC
AAEL002832	AAEL002832-RA
AAEL017301	AAEL017301-RA
AAEL003924	AAEL003924-RC
AAEL000291	AAEL000291-RA
AAEL008742	AAEL008742-RB
AAEL004209	AAEL004209-RG
AAEL012996	AAEL012996-RB
AAEL007054	AAEL007054-RA
AAEL024563	AAEL024563-RA
AAEL026843	AAEL026843-RA
AAEL019795	AAEL019795-RB
AAEL006022	AAEL006022-RB
AAEL019455	AAEL019455-RA
AAEL003835	AAEL003835-RF
AAEL017315	AAEL017315-RC
AAEL011918	AAEL011918-RK
AAEL020092	AAEL020092-RA
AAEL019974	AAEL019974-RB
AAEL004347	AAEL004347-RA
AAEL006876	AAEL006876-RD
AAEL002317	AAEL002317-RB
AAEL019806	AAEL019806-RB
AAEL007881	AAEL007881-RA
AAEL000649	AAEL000649-RB
AAEL000405	AAEL000405-RF
AAEL004090	AAEL004090-RA
AAEL005593	AAEL005593-RA
AAEL001113	AAEL001113-RA
AAEL008928	AAEL008928-RD
AAEL019716	AAEL019716-RA
AAEL019555	AAEL019555-RB
AAEL006139	AAEL006139-RA
AAEL003373	AAEL003373-RE
AAEL017116	AAEL017116-RE
AAEL004378	AAEL004378-RA
AAEL023486	AAEL023486-RA
AAEL027925	AAEL027925-RA
AAEL025856	AAEL025856-RA
AAEL024387	AAEL024387-RA
