aegypti_Ago2_8alt.geneId	aegypti_Ago2_8alt.transcriptId
AAEL004234	AAEL004234-RA
AAEL002346	AAEL002346-RC
AAEL017455	AAEL017455-RB
AAEL004559	AAEL004559-RB
AAEL013894	AAEL013894-RB
AAEL003179	AAEL003179-RB
AAEL012233	AAEL012233-RB
AAEL010711	AAEL010711-RB
AAEL021449	AAEL021449-RA
AAEL013461	AAEL013461-RA
AAEL000983	AAEL000983-RA
AAEL014408	AAEL014408-RC
AAEL013723	AAEL013723-RL
AAEL002860	AAEL002860-RA
AAEL007385	AAEL007385-RC
AAEL021376	AAEL021376-RA
AAEL012099	AAEL012099-RB
AAEL024053	AAEL024053-RB
AAEL007752	AAEL007752-RA
AAEL005515	AAEL005515-RJ
AAEL013596	AAEL013596-RD
AAEL012359	AAEL012359-RA
AAEL013778	AAEL013778-RA
AAEL022609	AAEL022609-RE
AAEL006582	AAEL006582-RC
AAEL004175	AAEL004175-RA
AAEL024852	AAEL024852-RA
AAEL009863	AAEL009863-RF
AAEL009295	AAEL009295-RA
AAEL005111	AAEL005111-RC
AAEL013139	AAEL013139-RI
AAEL019986	AAEL019986-RE
AAEL019546	AAEL019546-RG
AAEL001564	AAEL001564-RD
AAEL019617	AAEL019617-RK
AAEL018273	AAEL018273-RB
AAEL003534	AAEL003534-RB
AAEL004936	AAEL004936-RC
AAEL001503	AAEL001503-RJ
AAEL011369	AAEL011369-RE
AAEL004297	AAEL004297-RB
AAEL026217	AAEL026217-RA
AAEL017012	AAEL017012-RC
AAEL004534	AAEL004534-RA
AAEL008696	AAEL008696-RA
AAEL011319	AAEL011319-RE
AAEL019430	AAEL019430-RA
AAEL015006	AAEL015006-RB
AAEL006899	AAEL006899-RB
AAEL013275	AAEL013275-RB
AAEL013939	AAEL013939-RB
AAEL003259	AAEL003259-RA
AAEL004727	AAEL004727-RB
AAEL004710	AAEL004710-RG
AAEL028037	AAEL028037-RA
AAEL005651	AAEL005651-RB
AAEL005656	AAEL005656-RA
AAEL010340	AAEL010340-RD
AAEL022661	AAEL022661-RA
AAEL006439	AAEL006439-RC
AAEL004500	AAEL004500-RD
AAEL000706	AAEL000706-RA
AAEL003355	AAEL003355-RA
AAEL014709	AAEL014709-RA
AAEL000729	AAEL000729-RB
AAEL023898	AAEL023898-RA
AAEL005276	AAEL005276-RB
AAEL004910	AAEL004910-RA
AAEL011564	AAEL011564-RD
AAEL012772	AAEL012772-RA
AAEL011815	AAEL011815-RA
AAEL005709	AAEL005709-RA
AAEL005699	AAEL005699-RB
AAEL022214	AAEL022214-RA
AAEL008787	AAEL008787-RA
AAEL008793	AAEL008793-RA
AAEL011309	AAEL011309-RA
AAEL002761	AAEL002761-RAL
AAEL010170	AAEL010170-RA
AAEL010798	AAEL010798-RB
AAEL007019	AAEL007019-RB
AAEL012944	AAEL012944-RB
AAEL000291	AAEL000291-RA
AAEL003953	AAEL003953-RR
AAEL004209	AAEL004209-RG
AAEL014255	AAEL014255-RB
AAEL007065	AAEL007065-RC
AAEL026843	AAEL026843-RA
AAEL019795	AAEL019795-RB
AAEL002464	AAEL002464-RA
AAEL019455	AAEL019455-RA
AAEL003835	AAEL003835-RF
AAEL017315	AAEL017315-RC
AAEL000649	AAEL000649-RB
AAEL005593	AAEL005593-RA
AAEL001113	AAEL001113-RA
AAEL010318	AAEL010318-RA
AAEL023486	AAEL023486-RA
AAEL025856	AAEL025856-RA
