aegypti_Ago2_non3UTRtop.geneId	aegypti_Ago2_non3UTRtop.transcriptId
AAEL016434	AAEL016434-RA
AAEL018921	AAEL018921-RA
AAEL024582	AAEL024582-RA
AAEL006362	AAEL006362-RB
AAEL002178	AAEL002178-RB
AAEL002174	AAEL002174-RA
AAEL002160	AAEL002160-RA
AAEL007838	AAEL007838-RC
AAEL004233	AAEL004233-RB
AAEL004237	AAEL004237-RA
AAEL004228	AAEL004228-RA
AAEL004235	AAEL004235-RB
AAEL004245	AAEL004245-RB
AAEL025638	AAEL025638-RA
AAEL002346	AAEL002346-RC
AAEL015451	AAEL015451-RA
AAEL002886	AAEL002886-RD
AAEL002887	AAEL002887-RA
AAEL002892	AAEL002892-RA
AAEL022138	AAEL022138-RA
AAEL001447	AAEL001447-RB
AAEL018235	AAEL018235-RB
AAEL020264	AAEL020264-RA
AAEL009151	AAEL009151-RA
AAEL022328	AAEL022328-RF
AAEL002335	AAEL002335-RC
AAEL017296	AAEL017296-RA
AAEL028829	AAEL028829-RA
AAEL001231	AAEL001231-RD
AAEL021466	AAEL021466-RA
AAEL019424	AAEL019424-RA
AAEL012796	AAEL012796-RB
AAEL011388	AAEL011388-RA
AAEL017572	AAEL017572-RA
AAEL027418	AAEL027418-RA
AAEL025706	AAEL025706-RA
AAEL003103	AAEL003103-RB
AAEL028896	AAEL028896-RA
AAEL016838	AAEL016838-RA
AAEL011586	AAEL011586-RB
AAEL024283	AAEL024283-RG
AAEL022397	AAEL022397-RB
AAEL005790	AAEL005790-RC
AAEL005768	AAEL005768-RA
AAEL011377	AAEL011377-RA
AAEL012460	AAEL012460-RA
AAEL012463	AAEL012463-RB
AAEL005726	AAEL005726-RE
AAEL005722	AAEL005722-RB
AAEL023014	AAEL023014-RA
AAEL005714	AAEL005714-RF
AAEL019821	AAEL019821-RA
AAEL018112	AAEL018112-RD
AAEL006169	AAEL006169-RA
AAEL006158	AAEL006158-RA
AAEL011382	AAEL011382-RB
AAEL007038	AAEL007038-RB
AAEL021618	AAEL021618-RB
AAEL003039	AAEL003039-RA
AAEL003046	AAEL003046-RB
AAEL003026	AAEL003026-RB
AAEL003047	AAEL003047-RB
AAEL007662	AAEL007662-RG
AAEL003035	AAEL003035-RA
AAEL027482	AAEL027482-RB
AAEL003022	AAEL003022-RA
AAEL017455	AAEL017455-RB
AAEL002740	AAEL002740-RC
AAEL022967	AAEL022967-RA
AAEL007660	AAEL007660-RA
AAEL007650	AAEL007650-RA
AAEL004056	AAEL004056-RB
AAEL020053	AAEL020053-RA
AAEL004054	AAEL004054-RA
AAEL017198	AAEL017198-RA
AAEL011385	AAEL011385-RB
AAEL021479	AAEL021479-RA
AAEL004048	AAEL004048-RA
AAEL004060	AAEL004060-RB
AAEL026169	AAEL026169-RA
AAEL001619	AAEL001619-RA
AAEL001622	AAEL001622-RA
AAEL001601	AAEL001601-RC
