aegypti_perf.geneId	aegypti_perf.transcriptId
AAEL002745	AAEL002745-RB
AAEL028707	AAEL028707-RA
AAEL028650	AAEL028650-RA
AAEL028644	AAEL028644-RA
AAEL028695	AAEL028695-RA
AAEL028852	AAEL028852-RA
AAEL028736	AAEL028736-RA
AAEL028907	AAEL028907-RA
AAEL028985	AAEL028985-RA
AAEL028856	AAEL028856-RA
AAEL028658	AAEL028658-RA
AAEL028798	AAEL028798-RA
AAEL028884	AAEL028884-RA
AAEL028858	AAEL028858-RA
AAEL002999	AAEL002999-RB
AAEL023952	AAEL023952-RA
AAEL023845	AAEL023845-RA
AAEL027261	AAEL027261-RD
AAEL024630	AAEL024630-RA
AAEL027763	AAEL027763-RA
AAEL010408	AAEL010408-RB
AAEL019733	AAEL019733-RE
AAEL020899	AAEL020899-RA
AAEL008909	AAEL008909-RB
AAEL027444	AAEL027444-RC
AAEL007092	AAEL007092-RB
AAEL001268	AAEL001268-RE
AAEL025520	AAEL025520-RA
AAEL020488	AAEL020488-RE
AAEL024959	AAEL024959-RA
AAEL027580	AAEL027580-RA
AAEL021456	AAEL021456-RA
AAEL006447	AAEL006447-RB
AAEL004502	AAEL004502-RB
AAEL019416	AAEL019416-RA
AAEL014318	AAEL014318-RA
AAEL011500	AAEL011500-RF
AAEL023689	AAEL023689-RA
AAEL020519	AAEL020519-RA
AAEL019907	AAEL019907-RB
AAEL005962	AAEL005962-RA
AAEL027579	AAEL027579-RA
AAEL003133	AAEL003133-RC
AAEL013228	AAEL013228-RB
AAEL013102	AAEL013102-RH
AAEL018766	AAEL018766-RA
AAEL000898	AAEL000898-RB
AAEL006705	AAEL006705-RA
AAEL000811	AAEL000811-RA
AAEL002302	AAEL002302-RA
AAEL025765	AAEL025765-RA
AAEL008705	AAEL008705-RB
AAEL021284	AAEL021284-RE
