Var1	Var2	value
1	BrdU_KRG090619_Aag2_Ago1_Exp5A	Flaviviridae	0.0989755309345026
2	BrdU_KRG090619_Aag2_Ago1_Exp5B	Flaviviridae	0.0948815125055179
3	BrdU_KRG090619_Aag2_Ago2_Exp5A	Flaviviridae	0.182681051138797
4	BrdU_KRG090619_Aag2_Ago2_Exp5B	Flaviviridae	0.18557428918251
5	BrdU_KRG090619_Aag2_mIgG_Exp5A	Flaviviridae	0.160470714094678
6	BrdU_KRG090619_Aag2_mIgG_Exp5B	Flaviviridae	0.15353121801433
7	BrdU_KRG090619_Aag2_rIgG_Exp5A	Flaviviridae	0.10243569314819
8	BrdU_KRG090619_Aag2_rIgG_Exp5B	Flaviviridae	0.0471164719185827
9	BrdU_KRG090619_aegypti_Ago1_Exp5A	Flaviviridae	0.0105790592331144
10	BrdU_KRG090619_aegypti_Ago1_Exp5B	Flaviviridae	0.00831020326757193
11	BrdU_KRG090619_aegypti_Ago2_Exp5A	Flaviviridae	0.0723960569403406
12	BrdU_KRG090619_aegypti_Ago2_Exp5B	Flaviviridae	0.0841850776553377
13	BrdU_KRG090619_aegypti_mIgG_Exp5A	Flaviviridae	0.112771356075557
14	BrdU_KRG090619_aegypti_mIgG_Exp5B	Flaviviridae	0.111982082866741
15	BrdU_KRG090619_aegypti_rIgG_Exp5A	Flaviviridae	0.162224797219003
16	BrdU_KRG090619_aegypti_rIgG_Exp5B	Flaviviridae	0.157109190887667
17	BrdU_KRG091819_Aag2_Ago1_Exp6A	Flaviviridae	0.0849177609276043
18	BrdU_KRG091819_Aag2_Ago1_Exp6B	Flaviviridae	0.0849581124243174
19	BrdU_KRG091819_Aag2_Ago2_Exp6A	Flaviviridae	0.140995548360987
20	BrdU_KRG091819_Aag2_Ago2_Exp6B	Flaviviridae	0.148264313580404
21	BrdU_KRG091819_Aag2_mIgG_Exp6A	Flaviviridae	0.139762403913347
22	BrdU_KRG091819_Aag2_mIgG_Exp6B	Flaviviridae	0.253807106598985
23	BrdU_KRG091819_Aag2_rIgG_Exp6A	Flaviviridae	0
24	BrdU_KRG091819_Aag2_rIgG_Exp6B	Flaviviridae	0.0583260425780111
25	BrdU_KRG091819_aegypti_Ago1_Exp6A	Flaviviridae	0.00755676158417202
26	BrdU_KRG091819_aegypti_Ago1_Exp6B	Flaviviridae	0.0101944073481288
27	BrdU_KRG091819_aegypti_Ago2_Exp6A	Flaviviridae	0.0618705280346281
28	BrdU_KRG091819_aegypti_Ago2_Exp6B	Flaviviridae	0.0731060523044844
29	BrdU_KRG091819_aegypti_mIgG_Exp6A	Flaviviridae	0.108283703302653
30	BrdU_KRG091819_aegypti_mIgG_Exp6B	Flaviviridae	0.103442033670382
31	BrdU_KRG091819_aegypti_rIgG_Exp6A	Flaviviridae	0.128048780487805
32	BrdU_KRG091819_aegypti_rIgG_Exp6B	Flaviviridae	0.13724357122219
33	KRG081018_Aag2_Ago1_Exp3A	Flaviviridae	0.0394990081481749
34	KRG081018_Aag2_Ago1_Exp3B	Flaviviridae	0.0356903926778502
35	KRG081018_Aag2_rIgG_Exp3	Flaviviridae	0.074244632483101
36	KRG081018_aegypti_Ago1_Exp3A	Flaviviridae	0.0194591488780562
37	KRG081018_aegypti_Ago1_Exp3B	Flaviviridae	0.0118174266091006
38	KRG081018_aegypti_Ago1_Exp3C	Flaviviridae	0.00111205498494092
39	KRG091218_Aag2_Ago1_Exp4A	Flaviviridae	0.0497039938006987
40	KRG091218_Aag2_Ago1_Exp4B	Flaviviridae	0.0445579069316377
41	KRG091218_Aag2_Ago1_Exp4C	Flaviviridae	0.0378108616675253
42	KRG091218_Aag2_rIgG_Exp4A	Flaviviridae	0.0290682874837209
43	KRG091218_Aag2_rIgG_Exp4B	Flaviviridae	0.302294080970093
44	KRG091218_aegypti_Ago1_Exp4A	Flaviviridae	0.0096520517153659
45	KRG091218_aegypti_Ago1_Exp4B	Flaviviridae	0.0177950214041525
46	KRG091218_aegypti_Ago1_Exp4C	Flaviviridae	0.00139277382513725
47	KRG091218_aegypti_Ago1_Exp4D	Flaviviridae	0.00359817212855869
48	KRG091218_aegypti_Ago1_Exp4E	Flaviviridae	0.0338012178759418
49	KRG091218_aegypti_Ago1_Exp4F	Flaviviridae	0.00668762121313449
50	KRG091218_aegypti_rIgG_Exp4A	Flaviviridae	0.0619266517285414
51	KRG091218_aegypti_rIgG_Exp4B	Flaviviridae	0.00568577561086552
52	KRG092419_Aag2_Ago1_Exp7A	Flaviviridae	0.114245556543095
53	KRG092419_Aag2_Ago1_Exp7B	Flaviviridae	0.113789326035725
54	KRG092419_Aag2_Ago2_Exp7A	Flaviviridae	0.224568358431779
55	KRG092419_Aag2_Ago2_Exp7B	Flaviviridae	0.235123892204739
56	KRG092419_Aag2_mIgG_Exp7A	Flaviviridae	0.119464553743733
57	KRG092419_Aag2_mIgG_Exp7B	Flaviviridae	0.0144592249855408
58	KRG092419_Aag2_rIgG_Exp7A	Flaviviridae	0.0373770295727058
59	KRG092419_Aag2_rIgG_Exp7B	Flaviviridae	0.015741007949209
60	KRG092419_aegypti_Ago2_Exp7A	Flaviviridae	0.0417326371522413
61	KRG092419_aegypti_Ago2_Exp7B	Flaviviridae	0.0270078239588484
62	KRG092419_aegypti_mIgG_Exp7A	Flaviviridae	0
63	KRG092419_aegypti_mIgG_Exp7B	Flaviviridae	0
64	KRG092419_aegypti_mIgG_Exp7C	Flaviviridae	0
65	KRG092419_aegypti_mIgG_Exp7D	Flaviviridae	0
66	KRG102219_Aag2_Ago1_Exp8A	Flaviviridae	0.0567627721572201
67	KRG102219_Aag2_Ago1_Exp8B	Flaviviridae	0.0603301502701902
68	KRG102219_Aag2_Ago2_Exp8A	Flaviviridae	0.158617443565655
69	KRG102219_Aag2_Ago2_Exp8B	Flaviviridae	0.166926474408937
70	KRG102219_Aag2_mIgG_Exp8A	Flaviviridae	0.11094990185201
71	KRG102219_Aag2_mIgG_Exp8B	Flaviviridae	0.0570330419688798
72	KRG102219_Aag2_rIgG_Exp8A	Flaviviridae	0.0318071938784783
73	KRG102219_Aag2_rIgG_Exp8B	Flaviviridae	0.0336854586612051
