xIndex	Sample	Score
1	Aag2Ago1_chimera_remap.bw	1.60186671259207e-07
2	Aag2Ago1_chimera_remap.bw	1.58669389817023e-07
3	Aag2Ago1_chimera_remap.bw	1.64334783910481e-07
4	Aag2Ago1_chimera_remap.bw	1.42796060807166e-07
5	Aag2Ago1_chimera_remap.bw	1.46398623654713e-07
6	Aag2Ago1_chimera_remap.bw	1.38492851594829e-07
7	Aag2Ago1_chimera_remap.bw	1.41547980673917e-07
8	Aag2Ago1_chimera_remap.bw	1.3985569176738e-07
9	Aag2Ago1_chimera_remap.bw	1.40926999103952e-07
10	Aag2Ago1_chimera_remap.bw	1.38083289234128e-07
11	Aag2Ago1_chimera_remap.bw	1.31524643007141e-07
12	Aag2Ago1_chimera_remap.bw	1.33718475914062e-07
13	Aag2Ago1_chimera_remap.bw	1.31734989147812e-07
14	Aag2Ago1_chimera_remap.bw	1.37028568720221e-07
15	Aag2Ago1_chimera_remap.bw	1.33821610672587e-07
16	Aag2Ago1_chimera_remap.bw	1.33743289534324e-07
17	Aag2Ago1_chimera_remap.bw	1.23415801446091e-07
18	Aag2Ago1_chimera_remap.bw	1.07401896535953e-07
19	Aag2Ago1_chimera_remap.bw	1.06958532613551e-07
20	Aag2Ago1_chimera_remap.bw	1.02229855896475e-07
21	Aag2Ago1_chimera_remap.bw	1.02146006567104e-07
22	Aag2Ago1_chimera_remap.bw	1.00418264335459e-07
23	Aag2Ago1_chimera_remap.bw	9.95533582970773e-08
24	Aag2Ago1_chimera_remap.bw	1.01271117542023e-07
25	Aag2Ago1_chimera_remap.bw	1.00446104583826e-07
26	Aag2Ago1_chimera_remap.bw	1.01700728944781e-07
27	Aag2Ago1_chimera_remap.bw	9.8659978848369e-08
28	Aag2Ago1_chimera_remap.bw	1.07934420640936e-07
29	Aag2Ago1_chimera_remap.bw	1.04475418903168e-07
30	Aag2Ago1_chimera_remap.bw	9.56833237347619e-08
31	Aag2Ago1_chimera_remap.bw	1.05531309974004e-07
32	Aag2Ago1_chimera_remap.bw	1.08323717368781e-07
33	Aag2Ago1_chimera_remap.bw	1.23696014161464e-07
34	Aag2Ago1_chimera_remap.bw	1.25044840455868e-07
35	Aag2Ago1_chimera_remap.bw	1.27808840998638e-07
36	Aag2Ago1_chimera_remap.bw	1.29896800909417e-07
37	Aag2Ago1_chimera_remap.bw	1.33795645386725e-07
38	Aag2Ago1_chimera_remap.bw	1.33198498303005e-07
39	Aag2Ago1_chimera_remap.bw	1.39111634036295e-07
40	Aag2Ago1_chimera_remap.bw	1.35067559659556e-07
41	Aag2Ago1_chimera_remap.bw	1.35337764791954e-07
42	Aag2Ago1_chimera_remap.bw	1.38466425956216e-07
43	Aag2Ago1_chimera_remap.bw	1.30277099739839e-07
44	Aag2Ago1_chimera_remap.bw	1.29155029431276e-07
45	Aag2Ago1_chimera_remap.bw	1.46328004540188e-07
46	Aag2Ago1_chimera_remap.bw	1.5090189467552e-07
47	Aag2Ago1_chimera_remap.bw	1.49068048820524e-07
48	Aag2Ago1_chimera_remap.bw	1.46635290220449e-07
49	Aag2Ago1_chimera_remap.bw	1.44519883798e-07
50	Aag2Ago1_chimera_remap.bw	1.42181507952333e-07
51	Aag2Ago1_chimera_remap.bw	1.4920945448322e-07
52	Aag2Ago1_chimera_remap.bw	1.50875499794102e-07
