 	Experiment	Antibody	Lysate
KRG090619_aegypti_Ago1_Exp5A	KRG090619	Ago1	aegypti
KRG090619_aegypti_Ago1_Exp5B	KRG090619	Ago1	aegypti
KRG090619_aegypti_Ago2_Exp5A	KRG090619	Ago2	aegypti
KRG090619_aegypti_Ago2_Exp5B	KRG090619	Ago2	aegypti
KRG090619_aegypti_mIgG_Exp5B	KRG090619	mIgG	aegypti
KRG090619_aegypti_mIgG_Exp5A	KRG090619	mIgG	aegypti
KRG090619_aegypti_rIgG_Exp5A	KRG090619	rIgG	aegypti
KRG090619_aegypti_rIgG_Exp5B	KRG090619	rIgG	aegypti
KRG090619_Aag2_Ago1_Exp5A	KRG090619	Ago1	Aag2
KRG090619_Aag2_Ago1_Exp5B	KRG090619	Ago1	Aag2
KRG090619_Aag2_Ago2_Exp5A	KRG090619	Ago2	Aag2
KRG090619_Aag2_Ago2_Exp5B	KRG090619	Ago2	Aag2
KRG090619_Aag2_mIgG_Exp5A	KRG090619	mIgG	Aag2
KRG090619_Aag2_mIgG_Exp5B	KRG090619	mIgG	Aag2
KRG090619_Aag2_rIgG_Exp5A	KRG090619	rIgG	Aag2
KRG090619_Aag2_rIgG_Exp5B	KRG090619	rIgG	Aag2
KRG091819_aegypti_Ago1_Exp6A	KRG091819	Ago1	aegypti
KRG091819_aegypti_Ago1_Exp6B	KRG091819	Ago1	aegypti
KRG091819_aegypti_Ago2_Exp6A	KRG091819	Ago2	aegypti
KRG091819_aegypti_Ago2_Exp6B	KRG091819	Ago2	aegypti
KRG091819_aegypti_mIgG_Exp6B	KRG091819	mIgG	aegypti
KRG091819_aegypti_mIgG_Exp6A	KRG091819	mIgG	aegypti
KRG091819_aegypti_rIgG_Exp6A	KRG091819	rIgG	aegypti
KRG091819_aegypti_rIgG_Exp6B	KRG091819	rIgG	aegypti
KRG091819_Aag2_Ago1_Exp6A	KRG091819	Ago1	Aag2
KRG091819_Aag2_Ago1_Exp6B	KRG091819	Ago1	Aag2
KRG091819_Aag2_Ago2_Exp6A	KRG091819	Ago2	Aag2
KRG091819_Aag2_Ago2_Exp6B	KRG091819	Ago2	Aag2
KRG091819_Aag2_mIgG_Exp6A	KRG091819	mIgG	Aag2
KRG091819_Aag2_mIgG_Exp6B	KRG091819	mIgG	Aag2
KRG091819_Aag2_rIgG_Exp6A	KRG091819	rIgG	Aag2
KRG091819_Aag2_rIgG_Exp6B	KRG091819	rIgG	Aag2
