miRNA	KRG081018_Aag2_Ago1_Exp3A	KRG081018_Aag2_Ago1_Exp3B	KRG081018_Aag2_rIgG_Exp3	KRG081018_aegypti_Ago1_Exp3A	KRG081018_aegypti_Ago1_Exp3B	KRG081018_aegypti_Ago1_Exp3C	KRG090619_Aag2_Ago1_Exp5A	KRG090619_Aag2_Ago1_Exp5B	KRG090619_Aag2_Ago2_Exp5A	KRG090619_Aag2_Ago2_Exp5B	KRG090619_Aag2_mIgG_Exp5A	KRG090619_Aag2_mIgG_Exp5B	KRG090619_Aag2_rIgG_Exp5A	KRG090619_Aag2_rIgG_Exp5B	KRG090619_aegypti_Ago1_Exp5A	KRG090619_aegypti_Ago1_Exp5B	KRG090619_aegypti_Ago2_Exp5A	KRG090619_aegypti_Ago2_Exp5B	KRG090619_aegypti_mIgG_Exp5A	KRG090619_aegypti_mIgG_Exp5B	KRG090619_aegypti_rIgG_Exp5A	KRG090619_aegypti_rIgG_Exp5B	KRG091218_Aag2_Ago1_Exp4A	KRG091218_Aag2_Ago1_Exp4B	KRG091218_Aag2_Ago1_Exp4C	KRG091218_Aag2_rIgG_Exp4A	KRG091218_Aag2_rIgG_Exp4B	KRG091218_aegypti_Ago1_Exp4A	KRG091218_aegypti_Ago1_Exp4B	KRG091218_aegypti_Ago1_Exp4C	KRG091218_aegypti_Ago1_Exp4D	KRG091218_aegypti_Ago1_Exp4E	KRG091218_aegypti_Ago1_Exp4F	KRG091218_aegypti_rIgG_Exp4A	KRG091218_aegypti_rIgG_Exp4B	KRG091819_Aag2_Ago1_Exp6A	KRG091819_Aag2_Ago1_Exp6B	KRG091819_Aag2_Ago2_Exp6A	KRG091819_Aag2_Ago2_Exp6B	KRG091819_Aag2_mIgG_Exp6A	KRG091819_Aag2_mIgG_Exp6B	KRG091819_Aag2_rIgG_Exp6A	KRG091819_Aag2_rIgG_Exp6B	KRG091819_aegypti_Ago1_Exp6A	KRG091819_aegypti_Ago1_Exp6B	KRG091819_aegypti_Ago2_Exp6A	KRG091819_aegypti_Ago2_Exp6B	KRG091819_aegypti_mIgG_Exp6A	KRG091819_aegypti_mIgG_Exp6B	KRG091819_aegypti_rIgG_Exp6A	KRG091819_aegypti_rIgG_Exp6B	KRG092419_Aag2_Ago1_Exp7A	KRG092419_Aag2_Ago1_Exp7B	KRG092419_Aag2_Ago2_Exp7A	KRG092419_Aag2_Ago2_Exp7B	KRG092419_Aag2_mIgG_Exp7A	KRG092419_Aag2_mIgG_Exp7B	KRG092419_Aag2_rIgG_Exp7A	KRG092419_Aag2_rIgG_Exp7B	KRG092419_aegypti_Ago2_Exp7A	KRG092419_aegypti_Ago2_Exp7B	KRG092419_aegypti_mIgG_Exp7A	KRG092419_aegypti_mIgG_Exp7B	KRG092419_aegypti_mIgG_Exp7C	KRG092419_aegypti_mIgG_Exp7D	KRG102219_Aag2_Ago1_Exp8A	KRG102219_Aag2_Ago1_Exp8B	KRG102219_Aag2_Ago2_Exp8A	KRG102219_Aag2_Ago2_Exp8B	KRG102219_Aag2_mIgG_Exp8A	KRG102219_Aag2_mIgG_Exp8B	KRG102219_Aag2_rIgG_Exp8A	KRG102219_Aag2_rIgG_Exp8B	KRG102219_aegypti_Ago1_Exp8A	KRG102219_aegypti_Ago1_Exp8B	KRG102219_aegypti_Ago2_Exp8A	KRG102219_aegypti_Ago2_Exp8B	KRG102219_aegypti_mIgG_Exp8A	KRG102219_aegypti_mIgG_Exp8B	KRG102219_aegypti_rIgG_Exp8A	KRG102219_aegypti_rIgG_Exp8B	KRG121817A_Aag2_Ago1_Exp1A	KRG121817A_Aag2_Ago1_Exp1B	KRG121817A_Aag2_Ago2_Exp1A	KRG121817A_Aag2_Ago2_Exp1B	KRG121817A_Aag2_mIgG_Exp1A	KRG121817A_Aag2_mIgG_Exp1B	KRG121817A_Aag2_rIgG_Exp1A	KRG121817A_Aag2_rIgG_Exp1B	KRG121817B_Aag2_Ago1_Exp2A	KRG121817B_Aag2_Ago1_Exp2B	KRG121817B_Aag2_Ago2_Exp2A	KRG121817B_Aag2_Ago2_Exp2B	KRG121817B_Aag2_mIgG_Exp2A	KRG121817B_Aag2_mIgG_Exp2B	KRG121817B_Aag2_rIgG_Exp2A	KRG121817B_Aag2_rIgG_Exp2B	aegyptiAgo1_counts	aegyptiAgo2_counts	aegyptirIgG_counts	aegyptimIgG_counts	Aag2Ago1_counts	Aag2Ago2_counts	Aag2rIgG_counts	Aag2mIgG_counts	aegyptiAgo1_pseudocount	aegyptiAgo2_pseudocount	aegyptirIgG_pseudocount	aegyptimIgG_pseudocount	Aag2Ago1_pseudocount	Aag2Ago2_pseudocount	Aag2rIgG_pseudocount	Aag2mIgG_pseudocount	aegyptiAgo1_counts_norm	aegyptiAgo2_counts_norm	aegyptirIgG_counts_norm	aegyptimIgG_counts_norm	Aag2Ago1_counts_norm	Aag2Ago2_counts_norm	Aag2rIgG_counts_norm	Aag2mIgG_counts_norm	log2FCAag2Ago1overAgo2	log2FCaegyptiAgo1overAgo2	Aag2_Ago1_nhipeaks	Aag2_Ago2_nhipeaks	Aag2_rIgG_nhipeaks	Aag2_mIgG_nhipeaks	aegypti_Ago1_nhipeaks	aegypti_Ago2_nhipeaks	aegypti_rIgG_nhipeaks	aegypti_mIgG_nhipeaks	aegypti_Ago1_BCsample	aegypti_Ago2_BCsample	aegypti_rIgG_BCsample	aegypti_mIgG_BCsample	Aag2_Ago1_BCsample	Aag2_Ago2_BCsample	Aag2_rIgG_BCsample	Aag2_mIgG_BCsample	log2aegyptiAgo1_counts_norm	log2aegyptiAgo2_counts_norm	log2aegyptirIgG_counts_norm	log2aegyptimIgG_counts_norm	log2Aag2Ago1_counts_norm	log2Aag2Ago2_counts_norm	log2Aag2rIgG_counts_norm	log2Aag2mIgG_counts_norm	aegypti_type	Aag2_type	log2FCAag2Ago1overrIgG	log2FCAag2Ago2overmIgG
aae-bantam-3p	3595	14232	87	10039	3672	2078	177	161	1	0	0	0	0	0	206	184	0	0	0	0	1	0	2749	4301	1789	73	87	1811	724	654	2981	903	830	284	582	61	49	0	0	0	0	1	0	1127	974	0	0	0	0	11	0	953	1127	5	2	4	3	593	222	0	2	0	0	0	0	1487	1803	10	16	18	194	818	493	3877	5495	15	1525	121	73	4174	1035	4603	389	23	83	126	89	128	4	5356	4697	13	87	206	68	130	288	35555	1542	6087	194	47529	240	2924	708	35556	1543	6088	195	47530	241	2925	709	8325.51265264376	1662.60085511344	9402.28756050175	546.835783811978	6475.39302965425	50.5928920135656	1783.12233560374	440.543415584674	6.99988924138843	2.32409725179664	17	6	10	6	15	2	5	2	15	3	6	2	17	9	12	8	13.0233233951229	10.6992261433263	13.1987960893977	9.09496384281183	12.6607520457585	5.66086280437012	10.8001899707514	8.78314039362471	known	known	1.86056207500718	-3.12227758925459
aae-bantam-5p	2	13	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	5	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	1	1	8	1	0	0	0	0	7	13	1	0	0	1	0	0	25	26	13	29	1	0	23	3	48	2	5	4	3	2	0	0	44	56	1	10	0	1	1	4	74	51	26	1	200	21	7	7	75	52	27	2	201	22	8	8	17.5614087340613	56.0306185780291	41.6987128997285	5.60857214166132	27.383841762266	4.61843827509728	4.87691578968544	4.97087069771141	2.56784786897032	-1.67380684096027	5	1	0	0	2	2	1	0	7	4	2	1	12	5	4	4	4.13433667393637	5.80814351489664	5.38193094805762	2.48763352906222	4.77525295574778	2.20740508677745	2.28596906139324	2.31349857638519	known	known	2.48928389435453	-0.106093489607736
aae-let-7	11	13	1	1848	751	84	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	3	2	0	303	188	151	536	51	111	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	1	26	0	0	0	0	0	0	1	0	1	0	0	9	13	19	634	1083	7	290	15	5	627	37	2	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	5755	297	665	20	40	1	62	9	5756	298	666	21	41	2	63	10	1347.77958231009	321.098544927936	1028.56825152664	58.8900074874438	5.5857587674274	0.419858025008843	38.4057118437729	6.21358837213926	3.73377980104678	2.06949654296308	2	0	3	0	12	1	2	1	13	2	3	2	9	1	6	1	10.3963688601808	8.32687231721771	10.0064218129654	5.87995095184098	2.48175326918693	-1.25202653185984	5.26324898489316	2.63542667127255	known	known	-2.78149571570623	-3.8874532031324
aae-miR-1	200	453	35	42362	16672	4014	1	3	0	0	0	0	2	0	3289	2419	4	3	2	0	22	15	40	9	63	12	3	9055	3294	998	11971	1613	3568	30	13	0	2	0	0	0	0	1	0	16961	11981	13	13	6	0	91	63	0	2	0	0	0	2	2	285	3	5	0	0	0	0	13	4	1	1	2	75	155	159	3678	5676	51	1407	69	47	3471	422	1	0	0	1	0	0	0	0	3	5	0	0	0	0	0	3	137551	1499	4127	124	799	3	657	79	137552	1500	4128	125	800	4	658	80	32208.0919225013	1616.26784359699	6375.26988333627	350.535758853832	108.990414974193	0.839716050017687	401.126323701628	49.7087069771141	7.02008398620342	4.31668499226726	5	0	5	1	15	4	8	2	15	8	8	4	14	3	10	3	14.975135574406	10.6584505821388	12.6382707013174	8.45341781372431	6.76805745434357	-0.252026531859844	8.64791283512848	5.63542667127255	known	known	-1.87985538078491	-5.8874532031324
aae-miR-100	2	2	0	219	104	0	1	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0	0	0	0	0	52	9	22	32	0	25	0	0	0	0	0	0	0	0	0	0	49	71	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	3	4	119	170	2	45	1	0	101	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	901	47	112	1	8	0	13	1	902	48	113	2	9	1	14	2	211.205209041643	51.7205709951038	174.516835469234	5.60857214166132	1.22614216845967	0.209929012504422	8.53460263194953	1.24271767442785	2.546152797871	2.02983530921917	0	0	0	0	12	1	2	0	13	2	2	1	4	0	3	1	7.72250160669587	5.6926662974767	7.44722240830934	2.48763352906222	0.294126266011161	-2.25202653185984	3.09332398345085	0.31349857638519	known	known	-2.79919771743969	-2.56552510824503
aae-miR-1000	2	12	0	3	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	25	15	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	40	74	0	16	3	0	38	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	184	16	40	3	19	0	4	0	185	17	41	4	20	1	5	1	43.3181415440178	18.3177022274326	63.3202677366247	11.2171442833226	2.72476037435483	0.209929012504422	3.0480723685534	0.621358837213926	3.69815589131605	1.24173280595091	1	0	0	0	5	1	1	0	8	1	2	1	6	0	3	0	5.4368994439568	4.19516663800588	5.98459545051224	3.48763352906222	1.44612935945621	-2.25202653185984	1.60789715628061	-0.68650142361481	known	known	-0.161767796824394	-1.56552510824503
aae-miR-10365	13	68	0	0	1	93	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	36	12	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	2	0	0	0	0	0	0	0	7	10	0	0	0	1	1	1	7	15	0	3	0	0	7	6	31	0	0	0	0	0	0	0	27	84	0	1	1	0	0	0	120	3	14	0	312	1	4	2	121	4	15	1	313	2	5	3	28.3324060909522	4.31004758292532	23.1659516109603	2.80428607083066	42.6424998586531	0.419858025008843	3.0480723685534	1.86407651164178	6.66624664336131	2.71667742395954	9	0	0	0	2	0	0	0	6	1	3	0	13	1	3	2	4.82438122071508	2.10770379675554	4.53393404150267	1.48763352906222	5.41422011150147	-1.25202653185984	1.60789715628061	0.898461077106346	known	known	3.80632295522086	-2.15048760896619
aae-miR-11-3p	1790	6587	840	1501	605	428	13	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1293	1994	942	1	2	227	77	70	231	407	49	65	303	3	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	638	785	1	4	5	0	311	46	0	0	0	0	0	0	1441	1727	5	8	11	96	685	278	1050	1412	8	391	26	15	1241	656	2148	740	12	30	88	36	78	6	2482	4507	4	46	73	34	58	316	6073	399	2265	41	27098	110	2621	343	6074	400	2266	42	27099	111	2622	344	1422.23995534251	431.004758292532	3499.60309002907	117.780014974888	3691.91406923207	23.3021203879908	1598.4091500694	213.747440001591	7.30776392424558	1.72238919007768	14	3	8	6	12	1	4	2	13	2	4	2	17	8	11	7	10.4739491766079	8.75155998653027	11.7729755917147	6.87995095184098	11.8501532587358	4.54238933449026	10.642421031615	7.73976333108729	known	known	1.20773222712084	-3.19737399659703
aae-miR-1174	6	15	0	3	1	0	0	0	0	0	0	0	0	0	19	37	0	0	0	0	0	0	3	3	3	0	0	20	0	0	13	1	0	0	0	0	1	0	0	0	0	0	0	111	245	0	0	0	0	0	0	5	4	0	0	0	0	0	8	0	0	0	0	0	0	1	7	0	0	1	9	13	12	295	507	4	101	5	1	280	34	12	0	0	0	0	0	0	0	23	19	0	1	1	0	0	0	1252	105	314	6	102	1	33	11	1253	106	315	7	103	2	34	12	293.39260191705	114.216260947521	486.484983830166	19.6300024958146	14.0325159279274	0.419858025008843	20.7268921061631	7.45630604656712	5.06272832361191	1.3610644314436	4	0	2	0	8	1	2	0	11	2	2	2	13	1	3	3	8.19668868276235	6.83562425131874	8.92625146428143	4.29498845111983	3.81070179175207	-1.25202653185984	4.37343190264358	2.89846107710635	known	known	-0.562730110891515	-4.15048760896619
aae-miR-1175-3p	42	209	6	3039	1128	700	0	0	0	0	0	0	0	0	28	20	0	0	0	0	0	0	17	27	21	0	1	610	118	101	1092	76	283	2	0	0	1	0	0	0	0	0	0	104	86	0	0	0	0	0	0	2	5	0	0	0	0	1	58	2	2	0	0	0	0	10	10	0	0	2	21	55	44	1568	2148	20	552	19	20	1459	124	55	3	0	0	1	1	0	0	65	70	0	0	2	0	0	5	11101	576	1585	39	537	0	170	27	11102	577	1586	40	538	1	171	28	2599.55679687398	621.724363836977	2449.41328366553	112.171442833226	73.2960540701449	0.209929012504422	104.244075004526	17.3980474419899	8.44769015898532	2.06391865580104	10	0	3	1	15	2	2	2	15	4	3	2	14	0	7	5	11.3440499612021	9.28013130540103	11.2582205015981	6.80956162394959	6.19566362712547	-2.25202653185984	6.70382157627914	4.12085349844279	known	known	-0.508157949153667	-6.37288003030264
