sample	width	strand	count	nrow	percent
sRNAseq_CFAV.bed	16	+	49	2265196	2.16316822032177e-05
sRNAseq_CFAV.bed	16	-	33	2265196	-1.4568275769514e-05
sRNAseq_CFAV.bed	17	+	28	2265196	1.23609612589816e-05
sRNAseq_CFAV.bed	17	-	30	2265196	-1.32438870631945e-05
sRNAseq_CFAV.bed	18	+	15560	2265196	0.0068691627567769
sRNAseq_CFAV.bed	18	-	9418	2265196	-0.00415769761203887
sRNAseq_CFAV.bed	19	+	22287	2265196	0.00983888369924722
sRNAseq_CFAV.bed	19	-	15699	2265196	-0.0069305261001697
sRNAseq_CFAV.bed	20	+	129542	2265196	0.0571879872646782
sRNAseq_CFAV.bed	20	-	98988	2265196	-0.0436995297537167
sRNAseq_CFAV.bed	21	+	964798	2265196	0.425922525026532
sRNAseq_CFAV.bed	21	-	850457	2265196	-0.375445215336774
sRNAseq_CFAV.bed	22	+	65103	2265196	0.0287405593158385
sRNAseq_CFAV.bed	22	-	52271	2265196	-0.023075707356008
sRNAseq_CFAV.bed	23	+	16468	2265196	0.00727001107188958
sRNAseq_CFAV.bed	23	-	11527	2265196	-0.00508874287258145
sRNAseq_CFAV.bed	24	+	7832	2265196	0.00345753744929799
sRNAseq_CFAV.bed	24	-	5106	2265196	-0.00225410957815571
sRNAseq_CLY_a.bed	16	+	38	587397	6.4692192844022e-05
sRNAseq_CLY_a.bed	16	-	24	587397	-4.08582270593823e-05
sRNAseq_CLY_a.bed	17	+	34	587397	5.7882488334125e-05
sRNAseq_CLY_a.bed	17	-	32	587397	-5.44776360791764e-05
sRNAseq_CLY_a.bed	18	+	1385	587397	0.00235786018655185
sRNAseq_CLY_a.bed	18	-	1465	587397	-0.0024940542767498
sRNAseq_CLY_a.bed	19	+	3685	587397	0.00627344027974266
sRNAseq_CLY_a.bed	19	-	4271	587397	-0.00727106199044258
sRNAseq_CLY_a.bed	20	+	22198	587397	0.0377904551776737
sRNAseq_CLY_a.bed	20	-	22231	587397	-0.0378466352398804
sRNAseq_CLY_a.bed	21	+	232371	587397	0.395594461667322
sRNAseq_CLY_a.bed	21	-	262682	587397	-0.447196700017195
sRNAseq_CLY_a.bed	22	+	11783	587397	0.0200596870600292
sRNAseq_CLY_a.bed	22	-	14842	587397	-0.025267408583973
sRNAseq_CLY_a.bed	23	+	3127	587397	0.00532348650061202
sRNAseq_CLY_a.bed	23	-	3810	587397	-0.00648624354567694
