xIndex	Sample	Score
1	all_pattern_matches_genomewide_new_pos_neg.bw	3.74849394574548e-09
2	all_pattern_matches_genomewide_new_pos_neg.bw	3.76143659081653e-09
3	all_pattern_matches_genomewide_new_pos_neg.bw	3.73824529017957e-09
4	all_pattern_matches_genomewide_new_pos_neg.bw	3.70755143663913e-09
5	all_pattern_matches_genomewide_new_pos_neg.bw	3.73360875754245e-09
6	all_pattern_matches_genomewide_new_pos_neg.bw	3.73871466723437e-09
7	all_pattern_matches_genomewide_new_pos_neg.bw	3.71152204423819e-09
8	all_pattern_matches_genomewide_new_pos_neg.bw	3.67392905852623e-09
9	all_pattern_matches_genomewide_new_pos_neg.bw	3.73093598158524e-09
10	all_pattern_matches_genomewide_new_pos_neg.bw	3.7191801206383e-09
11	all_pattern_matches_genomewide_new_pos_neg.bw	3.73769863240017e-09
12	all_pattern_matches_genomewide_new_pos_neg.bw	3.76609373068402e-09
13	all_pattern_matches_genomewide_new_pos_neg.bw	3.75498564413835e-09
14	all_pattern_matches_genomewide_new_pos_neg.bw	3.71863198711958e-09
15	all_pattern_matches_genomewide_new_pos_neg.bw	3.69258368319257e-09
16	all_pattern_matches_genomewide_new_pos_neg.bw	3.73374229899935e-09
17	all_pattern_matches_genomewide_new_pos_neg.bw	3.76172458633509e-09
18	all_pattern_matches_genomewide_new_pos_neg.bw	3.72730286297494e-09
19	all_pattern_matches_genomewide_new_pos_neg.bw	3.70591476877830e-09
20	all_pattern_matches_genomewide_new_pos_neg.bw	3.6652509969431e-09
21	all_pattern_matches_genomewide_new_pos_neg.bw	3.6170424933487e-09
22	all_pattern_matches_genomewide_new_pos_neg.bw	3.65252736588139e-09
23	all_pattern_matches_genomewide_new_pos_neg.bw	3.67319239810052e-09
24	all_pattern_matches_genomewide_new_pos_neg.bw	3.6485280651919e-09
25	all_pattern_matches_genomewide_new_pos_neg.bw	3.63584089041275e-09
26	all_pattern_matches_genomewide_new_pos_neg.bw	3.63683043521892e-09
27	all_pattern_matches_genomewide_new_pos_neg.bw	3.66065389385368e-09
28	all_pattern_matches_genomewide_new_pos_neg.bw	3.64020891770332e-09
29	all_pattern_matches_genomewide_new_pos_neg.bw	3.65328091930703e-09
30	all_pattern_matches_genomewide_new_pos_neg.bw	3.64945449988553e-09
31	all_pattern_matches_genomewide_new_pos_neg.bw	3.65334374929206e-09
32	all_pattern_matches_genomewide_new_pos_neg.bw	3.61592702297368e-09
33	all_pattern_matches_genomewide_new_pos_neg.bw	3.5746843758652e-09
34	all_pattern_matches_genomewide_new_pos_neg.bw	3.57017196080767e-09
35	all_pattern_matches_genomewide_new_pos_neg.bw	3.57686672688747e-09
36	all_pattern_matches_genomewide_new_pos_neg.bw	3.60583535853323e-09
37	all_pattern_matches_genomewide_new_pos_neg.bw	3.63559673937335e-09
38	all_pattern_matches_genomewide_new_pos_neg.bw	3.62477149977725e-09
39	all_pattern_matches_genomewide_new_pos_neg.bw	3.63218770798377e-09
40	all_pattern_matches_genomewide_new_pos_neg.bw	3.60481549935611e-09
41	all_pattern_matches_genomewide_new_pos_neg.bw	3.66598140771853e-09
42	all_pattern_matches_genomewide_new_pos_neg.bw	3.67251073024165e-09
43	all_pattern_matches_genomewide_new_pos_neg.bw	3.70477731863404e-09
44	all_pattern_matches_genomewide_new_pos_neg.bw	3.71445627647076e-09
45	all_pattern_matches_genomewide_new_pos_neg.bw	3.6902886285943e-09
46	all_pattern_matches_genomewide_new_pos_neg.bw	3.60822078425325e-09
47	all_pattern_matches_genomewide_new_pos_neg.bw	3.64201869695436e-09
48	all_pattern_matches_genomewide_new_pos_neg.bw	3.64774114208786e-09
49	all_pattern_matches_genomewide_new_pos_neg.bw	3.58472226069475e-09
50	all_pattern_matches_genomewide_new_pos_neg.bw	3.60048216995875e-09
51	all_pattern_matches_genomewide_new_pos_neg.bw	3.60863422046783e-09
52	all_pattern_matches_genomewide_new_pos_neg.bw	3.6152137324059e-09
53	all_pattern_matches_genomewide_new_pos_neg.bw	3.59036071479941e-09
54	all_pattern_matches_genomewide_new_pos_neg.bw	3.6215425011063e-09
55	all_pattern_matches_genomewide_new_pos_neg.bw	3.61787537404362e-09
56	all_pattern_matches_genomewide_new_pos_neg.bw	3.62171086275673e-09
57	all_pattern_matches_genomewide_new_pos_neg.bw	3.58478508555276e-09
