sample	x.strand	overlapID	count	total_length	pos_over_neg_count	pos_over_neg_legnth
cat_Aag2Ago1.bed	+	1:189811704_189811735	248	8743	248	8743
cat_Aag2Ago1.bed	+	1:223496234_223496259	193	7448	193	7448
cat_Aag2Ago1.bed	+	1:235482910_235482921	9	188	9	188
cat_Aag2Ago1.bed	+	2:127840697_127840707	14	607	14	607
cat_Aag2Ago1.bed	+	2:37746878_37746909	24	744	24	744
cat_Aag2Ago1.bed	+	2:413905214_413905231	22	673	22	673
cat_Aag2Ago1.bed	+	2:413905602_413905628	759	36857	759	36857
cat_Aag2Ago1.bed	+	2:73166345_73166356	23	1076	23	1076
cat_Aag2Ago1.bed	+	3:10763981_10763998	24	521	24	521
cat_Aag2Ago1.bed	+	3:11239192_11239234	58	1824	58	1824
cat_Aag2Ago1.bed	+	3:290316982_290316993	2	42	2	42
cat_Aag2Ago1.bed	+	3:314164503_314164513	5	105	5	105
cat_Aag2Ago1.bed	+	3:375276343_375276363	139	5908	139	5908
cat_Aag2Ago1.bed	+	NIGP01000045:7221_7249	16	1008	16	1008
cat_Aag2Ago1.bed	+	NIGP01000507:3326_3351	5	109	5	109
cat_Aag2Ago1.bed	+	NIGP01000507:854_864	1	21	1	21
cat_Aag2Ago1.bed	+	NIGP01001771:5916_5928	568	31711	568	31711
cat_Aag2Ago1.bed	-	1:116128507_116128523	48	1791	0.0208333333333333	0.000558347292015634
cat_Aag2Ago1.bed	-	1:162386923_162386950	1565	57819	0.000638977635782748	1.72953527387191e-05
cat_Aag2Ago1.bed	-	1:205580039_205580057	360	20324	0.00277777777777778	4.92029128124385e-05
cat_Aag2Ago1.bed	-	1:205604861_205604892	1087	51781	0.000919963201471941	1.93121028948842e-05
cat_Aag2Ago1.bed	-	1:205628039_205628071	1470	73304	0.000680272108843537	1.36418203645094e-05
cat_Aag2Ago1.bed	-	1:205628392_205628434	2258	108272	0.000442869796279894	9.23599822668834e-06
cat_Aag2Ago1.bed	-	1:205628600_205628662	2698	122864	0.000370644922164566	8.13908060945436e-06
cat_Aag2Ago1.bed	-	1:205629167_205629202	1267	48726	0.000789265982636148	2.05229241062267e-05
cat_Aag2Ago1.bed	-	1:205636945_205636960	1770	84322	0.000564971751412429	1.18593012499704e-05
cat_Aag2Ago1.bed	-	1:205654554_205654574	1082	52968	0.000924214417744917	1.88793233650506e-05
cat_Aag2Ago1.bed	-	1:205661745_205661771	793	40257	0.00126103404791929	2.48404004272549e-05
cat_Aag2Ago1.bed	-	1:205669376_205669399	2001	97702	0.000499750124937531	1.02352050111564e-05
cat_Aag2Ago1.bed	-	1:205669997_205670025	663	31041	0.00150829562594268	3.22154569762572e-05
cat_Aag2Ago1.bed	-	1:205696300_205696330	1232	56032	0.000811688311688312	1.7846944603084e-05
cat_Aag2Ago1.bed	-	1:235481448_235481466	5	149	0.2	0.00671140939597315
cat_Aag2Ago1.bed	-	1:235492444_235492455	7	194	0.142857142857143	0.00515463917525773
cat_Aag2Ago1.bed	-	2:121270186_121270200	1	21	1	0.0476190476190476
cat_Aag2Ago1.bed	-	2:256000570_256000596	6	129	0.166666666666667	0.00775193798449612
cat_Aag2Ago1.bed	-	2:256001663_256001674	1	22	1	0.0454545454545455
